ISBN,Book-Rating,Year-Of-Publication-Binned,Book-Author-Encoded,Book-Publisher-Encoded,Book-Title-Embeddings,User-Age-Binned,User-Location-Encoded,User-ID
3453092007,8,6.0,1229.0,564.0,26.987907,-0.9476558612695865,-1.4494705257548095,276762
0006379702,5,6.0,5641.0,530.0,-2.7233088,-0.20576600085008945,-1.507009998661283,276798
8423996565,8,6.0,4730.0,393.0,-5.24703,-0.576710931059838,-0.2986810676253385,276813
8426449573,6,7.0,2051.0,343.0,22.958725,-0.576710931059838,-0.2986810676253385,276813
8478885218,6,0.0,3356.0,389.0,-4.950184,-0.576710931059838,-0.2986810676253385,276813
0142302198,10,7.0,3225.0,996.0,12.149332,-1.6895457216890835,-2.053634991272782,276822
038076041X,10,6.0,565.0,541.0,0.78822833,-1.6895457216890835,-2.053634991272782,276822
0439401399,6,7.0,1936.0,1091.0,7.3125525,-1.6895457216890835,-2.053634991272782,276822
0786812508,9,6.0,2515.0,595.0,6.512173,-1.6895457216890835,-2.053634991272782,276822
3442422035,9,6.0,1537.0,464.0,26.759056,-0.576710931059838,-1.4494705257548095,276847
3453137442,6,7.0,4356.0,325.0,26.48064,-0.576710931059838,-1.4494705257548095,276847
3404126343,8,6.0,4287.0,739.0,26.605314,-0.576710931059838,-1.4494705257548095,276866
3442443806,5,6.0,161.0,464.0,27.403433,-0.576710931059838,-1.4494705257548095,276866
0425167097,8,6.0,4677.0,151.0,8.448288,0.5361238595694076,-2.1399442006324922,276872
8807810751,7,0.0,5253.0,418.0,-6.2401514,-0.576710931059838,-1.1042336883159682,276875
840149236X,5,6.0,3788.0,956.0,-5.5775843,-0.9476558612695865,-0.2986810676253385,276925
2070386023,5,6.0,372.0,452.0,22.616072,-0.20576600085008945,-0.24114159471886498,276929
2264027568,5,6.0,5071.0,366.0,21.892511,-0.20576600085008945,-0.24114159471886498,276929
2869305583,6,6.0,1191.0,1053.0,21.658133,-0.20576600085008945,-0.24114159471886498,276929
3596147700,5,7.0,2861.0,428.0,27.605589,-0.20576600085008945,-2.2550231464454393,276936
2070414256,7,7.0,372.0,452.0,22.774452,-0.9476558612695865,-1.53577973511452,276939
2878580753,10,6.0,1766.0,1287.0,22.031324,-0.9476558612695865,-1.53577973511452,276939
0886777178,7,6.0,660.0,288.0,17.109161,-0.20576600085008945,0.5644110259717647,276964
0590436481,9,6.0,250.0,1091.0,14.427049,-1.6895457216890835,-1.9673257819130714,276984
0590442996,10,6.0,250.0,1091.0,14.435641,-1.6895457216890835,-1.9673257819130714,276984
342677609X,5,7.0,1993.0,346.0,27.463194,-0.9476558612695865,-2.2550231464454393,276994
3550075359,6,7.0,136.0,1259.0,27.763102,-0.9476558612695865,-2.2550231464454393,276994
0075536498,8,3.0,86.0,767.0,8.687531,-1.318600791479335,-1.4494705257548095,277051
006054094X,8,7.0,1856.0,929.0,3.9784126,1.6489586501986528,0.8233386540508957,277107
0399141340,8,6.0,4596.0,1000.0,10.583748,2.39084851061815,0.1328649791732131,277157
0399146466,6,7.0,5530.0,1001.0,7.185889,2.39084851061815,0.1328649791732131,277157
0684801663,6,6.0,1340.0,1121.0,11.974749,2.39084851061815,0.1328649791732131,277157
0140254188,8,6.0,173.0,924.0,9.299307,0.5361238595694076,-1.9960955183663083,277188
0590442805,9,6.0,4057.0,217.0,-1.4174201,-2.060490651898832,1.024726809223553,277203
0717284972,8,6.0,5547.0,484.0,0.44361085,-2.060490651898832,1.024726809223553,277203
087701759X,10,6.0,428.0,236.0,12.523122,-2.060490651898832,1.024726809223553,277203
0201000822,10,5.0,5596.0,935.0,13.484686,0.907068789779156,0.10409524271997632,277427
0471018732,10,6.0,1080.0,631.0,4.3180165,0.907068789779156,0.10409524271997632,277427
067172021X,8,6.0,4711.0,104.0,7.9685225,0.907068789779156,0.10409524271997632,277427
0679419853,10,6.0,4908.0,1017.0,10.650315,0.907068789779156,0.10409524271997632,277427
0897330536,8,6.0,1431.0,16.0,3.1808805,0.907068789779156,0.10409524271997632,277427
0898793912,9,6.0,3352.0,1376.0,3.9322696,0.907068789779156,0.10409524271997632,277427
156865037X,7,5.0,1148.0,816.0,7.2694225,0.907068789779156,0.10409524271997632,277427
1572304510,10,6.0,4610.0,1204.0,13.579986,0.907068789779156,0.10409524271997632,277427
1581690606,7,7.0,939.0,396.0,5.465825,0.907068789779156,0.10409524271997632,277427
0446609749,7,7.0,5608.0,1327.0,9.615178,-0.9476558612695865,0.8521083905041325,277469
3423101776,8,7.0,5019.0,325.0,-2.3378358,-0.9476558612695865,-1.507009998661283,277471
006008216X,6,7.0,1581.0,537.0,6.298013,-0.20576600085008945,-0.7877665873303638,277478
0451162218,8,5.0,3116.0,1117.0,2.0071676,-0.20576600085008945,-0.7877665873303638,277478
1740595904,7,7.0,1339.0,726.0,4.8353815,-0.20576600085008945,-0.7877665873303638,277478
0192823523,8,7.0,4989.0,890.0,-0.18944985,-0.20576600085008945,-0.5288389592512327,277509
0385492103,8,6.0,1698.0,56.0,-4.9990735,-0.20576600085008945,-0.5288389592512327,277509
0525946241,9,7.0,4272.0,352.0,5.4505973,0.907068789779156,0.8808781269573692,277517
0688178456,8,7.0,4921.0,929.0,2.8120897,-0.576710931059838,0.1328649791732131,277527
0571212018,5,7.0,4712.0,405.0,7.925352,-0.9476558612695865,-0.06852317599944432,277562
0061053775,5,7.0,4675.0,93.0,6.182459,2.39084851061815,0.1328649791732131,277563
